administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,country,establishment,floor,hospital,lat,lng,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
São Paulo,Osasco,,,Brazil,,,HOSPITAL MUNICIPAL ANTONIO GIGLIO,-23.5322294,-46.77717089999999,,ROOFTOP,,Centro,06013-070,,,Rua Pedro Fioreti,48,
São Paulo,Osasco,,,Brazil,,,HOSPITAL MATERNIDADE AMADOR AGUIAR,-23.5068406,-46.78808309999999,,ROOFTOP,,Piratininga,06233-020,,,Avenida Getúlio Vargas,1260,
São Paulo,Osasco,,,Brazil,,,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO,-23.5248485,-46.7717519,,ROOFTOP,,Presidente Altino,06216-240,,,Rua Ari Barroso,355,
São Paulo,Osasco,,,Brazil,,,PRONTO SOCORRO CONRADO CESARINO NUVOLINI,-23.5547454,-46.8020116,,ROOFTOP,,Jardim Dayaquinha,06132-002,,,Avenida João de Andrade,958,
São Paulo,Osasco,,,Brazil,,,PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA,-23.5121282,-46.7755968,,ROOFTOP,,Rochdale,06223-180,,,Rua Águas da Prata,s/n,
São Paulo,Osasco,,,Brazil,,,LAR BUSSOCABA ASSISTENCIA VICENTINA,-23.5555697,-46.7766356,,ROOFTOP,,Umuarama,06036-055,,,Avenida Padre Vicente Melillo,831,
Rio de Janeiro,Rio de Janeiro,,,Brazil,,,UPA BANGU,-22.8715454,-43.4599256,,ROOFTOP,,Bangu,21870-210,,,Rua Figueiredo Camargo,S/N,
São Paulo,Santo André,,,Brazil,,,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO,-23.6653066,-46.527221,,ROOFTOP,,Vila Assunção,09030-320,,,Avenida João Ramalho,326,
São Paulo,São José dos Campos,,,Brazil,,,UNIDADE DE PRONTO ATENDIMENTO SAUDE MENTAL,-23.2303365,-45.88537030000001,,ROOFTOP,,Jardim Satélite,12230-820,,,Rua Pituba,100,
Chihuahua,,,,Mexico,,,HOSPITAL DE CLINICAS NORTE,28.726874,-106.118453,Chihuahua,GEOMETRIC_CENTER,Alamedas IV Etapa,Chihuahua 2000,31136,,,Avenida Fedor Dostoyevzki,,
,,,,,,,IPMMI HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO,,,,,,,,,,,,
Comunidad de Madrid,Madrid,,,Spain,,,HOSPITAL PIO XII,40.4659983,-3.6706352,Madrid,ROOFTOP,,,28016,,,Cuesta del Sagrado Corazon,4,
São Paulo,São José dos Campos,,,Brazil,,,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE,-23.1803222,-45.854997,,ROOFTOP,,Vila Industrial,12220-280,,,Rua Saigiro Nakamura,800,
São Paulo,São José dos Campos,,,Brazil,,,ASSOCIACAO INSTITUTO CHUI DE PSIQUIATRIA,-23.207212,-45.898436,,ROOFTOP,,Jardim Maringa,12243-370,,,Praça Bom Jesus do Serimbura,nº82,
,,,,,,,CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS,,,,,,,,,,,,
São Paulo,Santo André,,,Brazil,,,PRONTO ATENDIMENTO DE VILA LUZITA,-23.6993173,-46.5073126,,ROOFTOP,,Vila Luzita,09171-120,,,Rua Calecute,25,
,,,,,,,UPA CENTRAL EMILIO PIRES MAGALHAES,,,,,,,,,,,,
São Paulo,São José dos Campos,,,Brazil,,,HOSPITAL DE CLINICAS SUL,-23.2378264,-45.90892789999999,,ROOFTOP,,Parque Industrial,12237-000,,,Praça Natal,55,
São Paulo,Campinas,,,Brazil,,,MATERNIDADE DE CAMPINAS,-22.89931,-47.063439,,ROOFTOP,,Vila Itapura,13023-002,,,Avenida Orosimbo Maia,165,
São Paulo,Campinas,,,Brazil,,,HOSPITAL IRMAOS PENTEADO E SANTA CASA DE CAMPINAS,-22.9006551,-47.0548017,,ROOFTOP,,Cambuí,13024-180,,,Avenida Júlio de Mesquita,571,
São Paulo,Cajuru,,,Brazil,,,CASA DE CARIDADE SAO VICENTE DE PAULO CAJURU,-21.2724725,-47.3066959,,ROOFTOP,,Jardim Santa Maria Goretti,14240-000,,,R. Doutor Milton Mourão de Mattos,460,
São Paulo,Jaguariúna,,,Brazil,,,HOSPITAL MUNICIPAL WALTER FERRARI,-22.7026202,-46.9953435,,ROOFTOP,,Centro,13820-000,,,Rua Amazonas,s/n,
São Paulo,Cosmópolis,,,Brazil,,,HOSPITAL BENEFICENTE SANTA GERTRUDES,-22.6495818,-47.1970513,,ROOFTOP,,Jardim de Faveri,13150-000,,,Rua Ramos de Azevedo,66,
São Paulo,Itatiba,,,Brazil,,,SANTA CASA DE MISERICORDIA DE ITATIBA,-23.0074174,-46.8331177,,ROOFTOP,,Centro,13253-900,,,Avenida Saudade,43,
São Paulo,Jaborandi,,,Brazil,,,HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,-20.6897899,-48.4162732,,ROOFTOP,,,14775-000,,,Rua Doutor Amadeu Pagliuso,337-449,
São Paulo,Mongaguá,,,Brazil,,,HOSPITAL E MATERNIDADE DR ADONIRAN CORREIA CAMPOS MONGAGUA,-24.0905957,-46.613568,,ROOFTOP,,Centro,11730-000,,,Avenida São Paulo,826,
Kansas,Johnson County,,,United States,,,SANTA CASA,38.907624,-94.795457,Olathe,ROOFTOP,,,66061,2950,,North Ridgeview Road,1600,
São Paulo,Caçapava,,,Brazil,,,HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJUDA,-23.1042811,-45.705188,,ROOFTOP,,Centro,12281-450,,,Avenida Doutor Pereira de Mattos,63,
São Paulo,São José dos Campos,,,Brazil,,,SANTA CASA DE MISERICORDIA SAO JOSE,-23.1849299,-45.884014,,ROOFTOP,,Centro,12210-000,,,Rua Vilaça,540,
Distrito Federal,Brasília,,Taguatinga,Brazil,,,HOSPITAL ANCHIETA,-15.8235069,-48.0668538,,GEOMETRIC_CENTER,,Setor C Norte,72115-700,,,,,
São Paulo,Jaboticabal,,,Brazil,,,HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL,-21.2555666,-48.3259557,,ROOFTOP,,Centro,14870-810,,,Rua Floriano Peixoto,1387,
São Paulo,Marília,,,Brazil,,,HCFAMEMA HOSP CLINICO CIRURGICO,-22.2270257,-49.9357465,,ROOFTOP,,Fragata,17519-080,,,Rua Doutor Reinaldo Machado,255,
