administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,bus_station,co_cnes,country,establishment,floor,hospital,lat,lat_google,lng,lng_google,locality,location_type,neighborhood,political,postal_code,postal_code_suffix,premise,route,street_number,subpremise
São Paulo,Santo André,,,,8494.0,Brazil,,,UPA BANGU,-23.6407862,,-46.5278596,,,ROOFTOP,,Vila Sao Pedro,09210-240,,,Rua Avaré,107,
São Paulo,São Paulo,,,,9296.0,Brazil,,,HOSPITAL DE CLINICAS NORTE,-23.5575412,,-46.66999260000001,,,ROOFTOP,,Cerqueira César,05403-000,,,Avenida Doutor Enéas Carvalho de Aguiar,255,
São Paulo,São José dos Campos,,,,9539.0,Brazil,,,IPMMI HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO,-23.204991500000002,,-45.887396100000004,,,ROOFTOP,,Jardim Renata,12245-280,,,Avenida Heitor Villa Lobos,1961,
São Paulo,São José dos Campos,,,,9601.0,Brazil,,,HOSPITAL PIO XII,-23.163135999999998,,-45.900275,,,ROOFTOP,,Santana,12212-110,,,Rua Paraguassú,51,
São Paulo,São José dos Campos,,,,9695.0,Brazil,,,CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS,-23.200880899999998,,-45.887879999999996,,,ROOFTOP,,Jardim Sao Dimas,12237-000,,,Rua Amin Assad,200,
São Paulo,Mirassol,,,,2024691.0,Brazil,,,SANTA CASA,-20.812439,,-49.5057357,,,APPROXIMATE,,Santa Casa,15130-000,,,,,
São Paulo,São Paulo,,,,2025361.0,Brazil,,,HOSPITAL ANCHIETA,-23.598059399999997,,-46.6477279,,,ROOFTOP,,Vila Clementino,04038-001,,,Rua Pedro de Toledo,1121,
São Paulo,Guariba,,,,2026392.0,Brazil,,,HOSPITAL SANTO ANTONIO,-21.3610817,,-48.2262833,,,ROOFTOP,,Centro,14840-000,,,Avenida Coronel Neca Junqueira,1178,
São Paulo,São Bernardo do Campo,,,,2027356.0,Brazil,,,HOSPITAL MUNICIPAL UNIVERSITARIO,-23.6545546,,-46.573305,,,ROOFTOP,,Rudge Ramos,09624-000,,,Avenida Bispo César Dacorso Filho,161,
São Paulo,Catanduva,,,,2043351.0,Brazil,,,PIZARRO HOSPITAL DO OLHO LTDA EPP,-21.1401861,,-48.97763490000001,,,ROOFTOP,,Centro,15801-240,,,Rua Belém,723,
São Paulo,Monte Azul Paulista,,,,2053519.0,Brazil,,,MATERNIDADE FERNANDO MAGALHAES,-20.9055065,,-48.6434724,,,ROOFTOP,,Centro,14730-000,,,Praça Coronel Licas,96,
São Paulo,Queluz,,,,2058340.0,Brazil,,,HOSPITAL MUNICIPAL DE QUELUZ,-22.5384729,,-44.772895399999996,,,ROOFTOP,,,12800-000,,,Rua Nossa Senhora de Fátima,65,
São Paulo,Santana de Parnaíba,,,,2072513.0,Brazil,,,HOSPITAL MUNICIPAL SANTA ANA,-23.442687799999998,,-46.92506160000001,,,ROOFTOP,,Campo da Vila,06502-165,,,Rua Professor Edgar de Morães,707,
São Paulo,São Vicente,,,,2077515.0,Brazil,,,HOSPITAL SAO VICENTE DE PAULA DE ARANDU,-23.960765600000002,,-46.3960797,,São Vicente,APPROXIMATE,,,,,,,,
São Paulo,Lençóis Paulista,,,,2077582.0,Brazil,,,HOSPITAL NOSSA SENHORA DA PIEDADE,-22.5992785,,-48.79607,,,ROOFTOP,,Centro,18682-041,,,Rua Geraldo Pereira de Barros,461,
São Paulo,São Paulo,,,,2077612.0,Brazil,,,CASA DE SAUDE NOSSA SENHORA DE FATIMA,-23.48754,,-46.7608851,,,ROOFTOP,,Vila Pirituba,05157-030,,,Avenida Jornalista Paulo Zingg,1078,
São Paulo,São Paulo,,,,2077655.0,Brazil,,,ASSOC AACD V CLEMENTINO,-23.5966164,,-46.6516398,,,ROOFTOP,,Vila Clementino,4027,,,Rua Borges Lagoa,1505,
São Paulo,Santos,,,,2078023.0,Brazil,,,HOSPITAL SAO LUCAS,-23.9511581,,-46.3313484,,,ROOFTOP,,Vila Matias,11060-001,,,Avenida Ana Costa,168,
São Paulo,Guarulhos,,,,2078155.0,Brazil,,,HOSPITAL STELLA MARIS,-23.478667,,-46.551521,,,ROOFTOP,,Vila Itapegica,07041-020,,,Rua Maria Cândida Pereira,568,
São Paulo,São Paulo,,,,2078384.0,Brazil,,,HOSPITAL ESPIRITA,-23.515210800000002,,-46.7041414,,,ROOFTOP,,Lapa de Baixo,05068-070,,,Rua Engenheiro Aubertin,216,
São Paulo,Itupeva,,,,2078538.0,Brazil,,,HOSPITAL NOSSA SENHORA APARECIDA,-23.1746193,,-47.0523153,,,ROOFTOP,,Da Lagoa,13295-000,,,Praça São Venâncio,2,
São Paulo,Itupeva,,,,2080052.0,Brazil,,,HOSPITAL NOSSA SENHORA APARECIDA,-23.1746193,,-47.0523153,,,ROOFTOP,,Da Lagoa,13295-000,,,Praça São Venâncio,2,
São Paulo,Embu das Artes,,,,2079178.0,Brazil,,,MATERNIDADE MUNICIPAL,-23.6491133,,-46.84744179999999,,,ROOFTOP,,Vila Cercado Grande,06803-000,,,Avenida Elias Yazbek,1415,
São Paulo,São Paulo,,,,2079186.0,Brazil,,,HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA,-23.480323000000002,,-46.67097329999999,,,ROOFTOP,,Vila Nova Cachoeirinha,02720-200,,,Avenida Deputado Emílio Carlos,3100,
São Paulo,Jaboticabal,,,,2079224.0,Brazil,,,HOSPITAL SAO JOSE,-21.261873100000003,,-48.305201000000004,,,ROOFTOP,,Jardim São Marcos,14887-200,,,Rua Mário de Campos,872,
São Paulo,Jaboticabal,,,,7603274.0,Brazil,,,HOSPITAL SAO JOSE,-21.261873100000003,,-48.305201000000004,,,ROOFTOP,,Jardim São Marcos,14887-200,,,Rua Mário de Campos,872,
São Paulo,Santa Bárbara d'Oeste,,,,2079232.0,Brazil,,,HOSPITAL SANTA BARBARA,-22.753804000000002,,-47.420023,,,ROOFTOP,,Centro,13450-033,,,Rua João Lino,914,
São Paulo,São Paulo,,,,2080265.0,Brazil,,,EMED HOSPITAL E MATERNIDADE,-23.535934,,-46.588712,,,ROOFTOP,,Belenzinho,03064-000,,,Avenida Celso Garcia,2477,
São Paulo,Santos,,,,2080354.0,Brazil,,,HOSPITAL SANTO ANTONIO SANTOS,-23.9742475,,-46.3200146,,,ROOFTOP,,Embaré,11045-400,,,Avenida Bartolomeu de Gusmão,32,
São Paulo,São Paulo,,,,2080575.0,Brazil,,,HOSPITAL BP,-23.5671239,,-46.6414294,,,ROOFTOP,,Bela Vista,01323-001,,,Rua Maestro Cardim,769,
São Paulo,São Paulo,,,,2080818.0,Brazil,,,HOSP SAMARITANO,-23.5390056,,-46.6617278,,,ROOFTOP,,Higienópolis,01232-010,,,Rua Conselheiro Brotero,1486,
São Paulo,Bilac,,,,2080915.0,Brazil,,,HOSPITAL BENEFICENTE PADRE BERNARDO BRAAKIUS,-21.4055148,,-50.4719209,,,ROOFTOP,,,16210-000,,,Rua 7 de Setembro,529,
São Paulo,Jundiaí,,,,2080923.0,Brazil,,,HOSPITAL SAO VICENTE,-23.183918,,-46.8898835,,,ROOFTOP,,Centro,13201-625,,,Rua São Vicente de Paulo,223,
São Paulo,Ribeirão Pires,,,,2081202.0,Brazil,,,HOSPITAL E MATERNIDADE SAO LUCAS,-23.7056669,,-46.415418,,,ROOFTOP,,Centro,09402-500,,,Rua Renato Andréoli,138,
São Paulo,Urupês,,,,2081342.0,Brazil,,,HOSPITAL SAO LOURENCO,-21.205096100000002,,-49.2923289,,,ROOFTOP,,,15850-000,,,Rua Barão do Rio Branco,226-372,
São Paulo,Guarujá,,,,2081504.0,Brazil,,,HOSPITAL DIA E UNIDADE DE INFECTOLOGIA WILLIAN ROCHA,-23.961951100000004,,-46.2808919,,,ROOFTOP,,Jardim Boa Esperanca (Vicente de Carvalho),11432-501,,,Rua Hélio Ferreira,369,
